id,recipe_name,prep_time_ai,cook_time_ai,time_source
51,Cơm nắm xốt mè,15,15,gemma-4-31b-it_estimate
52,TÚI NGỌC XỐT MÈ,15,15,gemma-4-31b-it_estimate
53,Ức gà trộn quinoa và rau củ,25,20,gemma-4-31b-it_estimate
54,Kem “Blendy”,15,240,gemma-4-31b-it_estimate
55,Bánh cuốn lạnh,20,15,gemma-4-31b-it_estimate
56,Salad bò đậu rồng,20,10,gemma-4-31b-it_estimate
57,Snack salad,20,10,gemma-4-31b-it_estimate
58,Cơm nắm rong biển Mayo,15,0,gemma-4-31b-it_estimate
59,Salad táo phô mai,15,0,gemma-4-31b-it_estimate
60,Salad rong biển thanh cua,20,15,gemma-4-31b-it_estimate
61,Salad trộn xốt phô mai cay,15,0,gemma-4-31b-it_estimate
62,Miến măng trộn,40,60,gemma-4-31b-it_estimate
63,Gỏi bắp bò hoa,20,25,gemma-4-31b-it_estimate
64,Miến gà trộn,20,15,gemma-4-31b-it_estimate
65,Salad mì udon cá hồi xốt mè rang,30,15,gemma-4-31b-it_estimate
66,Gỏi ngó sen tôm thịt,120,20,gemma-4-31b-it_estimate
67,Gỏi gà giòn,30,20,gemma-4-31b-it_estimate
68,Miến trộn hải sản,30,15,gemma-4-31b-it_estimate
69,Mì Trộn Vị Thái,20,15,gemma-4-31b-it_estimate
70,Salad bacon,15,10,gemma-4-31b-it_estimate
71,Salad cá ngừ rau thơm,15,10,gemma-4-31b-it_estimate
72,Salad bơ bacon,20,10,gemma-4-31b-it_estimate
73,Salad rong nho xốt mè rang,15,5,gemma-4-31b-it_estimate
74,Salad bít tết,20,10,gemma-4-31b-it_estimate
75,Gỏi gà cần tây,30,20,gemma-4-31b-it_estimate
76,Salad trứng,15,10,gemma-4-31b-it_estimate
77,Bún trộn ngũ sắc,20,15,gemma-4-31b-it_estimate
78,Salad bơ cải kale ức gà,20,10,gemma-4-31b-it_estimate
79,Đậu trộn dầu giấm xốt mè rang,15,10,gemma-4-31b-it_estimate
80,Gỏi cuốn tôm,20,10,gemma-4-31b-it_estimate
81,Cơm gạo lứt trộn,30,30,gemma-4-31b-it_estimate
82,Salad táo với hạt óc chó,20,5,gemma-4-31b-it_estimate
83,Gỏi cá kiểu Nhật,30,15,gemma-4-31b-it_estimate
84,Salad khoai tây trứng cút,20,25,gemma-4-31b-it_estimate
85,Cải ngồng trộn gà xé,25,15,gemma-4-31b-it_estimate
86,Gỏi gà hoa súng,30,20,gemma-4-31b-it_estimate
87,Miến trộn kiểu Thái,15,10,gemma-4-31b-it_estimate
88,Salad mực măng tây,20,15,gemma-4-31b-it_estimate
89,Salad cam đậu đỏ,25,10,gemma-4-31b-it_estimate
90,Snack phồng tôm rau củ,20,15,gemma-4-31b-it_estimate
91,Gỏi xoài tôm sả,25,10,gemma-4-31b-it_estimate
92,Salad bò rau má,20,10,gemma-4-31b-it_estimate
93,Tôm chua trộn cóc xanh mayo,20,5,gemma-4-31b-it_estimate
94,Gỏi xoài cá trê,30,15,gemma-4-31b-it_estimate
95,Salad cam tình yêu,20,10,gemma-4-31b-it_estimate
96,Salad ổi,20,15,gemma-4-31b-it_estimate
97,Ếch xé phay trộn rau mầm,20,15,gemma-4-31b-it_estimate
98,Mì trộn xốt mayonnaise,20,15,gemma-4-31b-it_estimate
99,Salad cua táo xanh,20,5,gemma-4-31b-it_estimate
100,Bắp cải tím trộn tôm,15,10,gemma-4-31b-it_estimate
101,Salad rong nho,15,0,gemma-4-31b-it_estimate
102,Salad tôm thanh mát,25,15,gemma-4-31b-it_estimate
103,Nộm lưỡi lợn su hào,35,50,gemma-4-31b-it_estimate
104,Gỏi rau má tai heo,20,20,gemma-4-31b-it_estimate
105,Gỏi hoa chuối thịt gà chay,30,15,gemma-4-31b-it_estimate
106,Cơm gạo lức trộn rau củ,75,25,gemma-4-31b-it_estimate
107,Măng trộn tôm thịt,40,20,gemma-4-31b-it_estimate
108,Salad trái thơm mayo,20,10,gemma-4-31b-it_estimate
109,Salad mực phổ tai,25,10,gemma-4-31b-it_estimate
110,Salad mùa hè,15,5,gemma-4-31b-it_estimate
111,Salad bắp tôm,25,15,gemma-4-31b-it_estimate
112,Salad cầu vồng ngày hè,20,10,gemma-4-31b-it_estimate
113,Gỏi cóc tai heo,30,20,gemma-4-31b-it_estimate
114,Lưỡi heo trộn kiệu chua,30,25,gemma-4-31b-it_estimate
115,Gỏi rau mầm tôm mực,20,10,gemma-4-31b-it_estimate
116,Salad bí đỏ,20,15,gemma-4-31b-it_estimate
117,Salad bơ gà nướng,20,25,gemma-4-31b-it_estimate
118,Salad cam cá hồi,20,15,gemma-4-31b-it_estimate
119,Gỏi cuốn chay xốt đậu phộng,25,20,gemma-4-31b-it_estimate
120,Salad mực ống rong biển,20,15,gemma-4-31b-it_estimate
121,Gỏi bốn mùa,20,10,gemma-4-31b-it_estimate
122,Salad rong nho xốt cam,25,10,gemma-4-31b-it_estimate
123,Hàu trộn mầm cải,20,5,gemma-4-31b-it_estimate
124,Salad tôm đậu hũ,20,10,gemma-4-31b-it_estimate
125,Salad thanh long chanh dây,15,5,gemma-4-31b-it_estimate
126,Salad hoa lý tôm xá xíu,20,15,gemma-4-31b-it_estimate
127,Ớt chuông hải sản phô mai,25,30,gemma-4-31b-it_estimate
128,Salad bò dưa kiệu,20,10,gemma-4-31b-it_estimate
129,Salad cải mầm tôm chiên,20,15,gemini-3.1-flash-lite-preview_estimate
130,Cơm gạo lứt trộn,30,45,gemini-3.1-flash-lite-preview_estimate
131,Gỏi gà nướng trái dừa,25,20,gemini-3.1-flash-lite-preview_estimate
132,Gỏi khổ qua cá khô,25,20,gemini-3.1-flash-lite-preview_estimate
133,Cháo nấm – Gà trộn é tía,30,45,gemini-3.1-flash-lite-preview_estimate
134,Gỏi ếch cóc xanh,30,15,gemini-3.1-flash-lite-preview_estimate
135,Gỏi dưa leo khô cá cơm,20,10,gemini-3.1-flash-lite-preview_estimate
136,Salad rong nho cá hồi,25,0,gemini-3.1-flash-lite-preview_estimate
137,Gỏi gà dưa leo,25,15,gemini-3.1-flash-lite-preview_estimate
138,Salad tôm lạnh,30,15,gemini-3.1-flash-lite-preview_estimate
139,Salad xanh,35,20,gemini-3.1-flash-lite-preview_estimate
142,Salad nấm linh chi,20,15,gemini-3.1-flash-lite-preview_estimate
143,Salad trái cây nhiệt đới,20,15,gemini-3.1-flash-lite-preview_estimate
144,Salad dưa lê,25,10,gemini-3.1-flash-lite-preview_estimate
145,Gỏi gân bò trứng muối,30,45,gemini-3.1-flash-lite-preview_estimate
146,Salad hạt chia,20,10,gemini-3.1-flash-lite-preview_estimate
147,Gỏi củ hủ dừa bao tử,30,40,gemini-3.1-flash-lite-preview_estimate
148,Salad cua thanh,15,10,gemini-3.1-flash-lite-preview_estimate
149,Salad rong sụn trứng muối,20,10,gemini-3.1-flash-lite-preview_estimate
150,Gỏi rau má tôm khô chiên giòn,25,15,gemini-3.1-flash-lite-preview_estimate
151,Mì nưa trộn sườn chay,15,15,gemini-3.1-flash-lite-preview_estimate
152,Gỏi mít thịt ba chỉ,30,20,gemini-3.1-flash-lite-preview_estimate
153,Gỏi gà sứa sả tắc,25,15,gemini-3.1-flash-lite-preview_estimate
154,Gỏi bưởi cá hồi,20,10,gemini-3.1-flash-lite-preview_estimate
155,Gỏi cá,25,15,gemini-3.1-flash-lite-preview_estimate
156,Salad cam tôm sú,20,10,gemini-3.1-flash-lite-preview_estimate
157,Gỏi sứa khoai môn,20,15,gemini-3.1-flash-lite-preview_estimate
158,Gỏi cua,30,20,gemini-3.1-flash-lite-preview_estimate
159,Gỏi bạch tuộc ớt chuông,25,15,gemini-3.1-flash-lite-preview_estimate
160,Salad dưa leo trộn xúc xích,20,10,gemini-3.1-flash-lite-preview_estimate
161,Salad ngũ sắc chay,20,10,gemini-3.1-flash-lite-preview_estimate
162,Cần tây bóp xổi sụn gà,40,15,gemini-3.1-flash-lite-preview_estimate
163,Salad bò rau đắng,25,15,gemini-3.1-flash-lite-preview_estimate
164,Salad mì Udon cá hồi,20,15,gemini-3.1-flash-lite-preview_estimate
165,Salad ức gà áp chảo,25,15,gemini-3.1-flash-lite-preview_estimate
166,Salad nui,20,15,gemini-3.1-flash-lite-preview_estimate
167,Salad táo rau mầm,20,10,gemini-3.1-flash-lite-preview_estimate
168,Salad tôm dâu tây táo đỏ,25,10,gemini-3.1-flash-lite-preview_estimate
169,Gỏi ổi ốc giác,30,20,gemini-3.1-flash-lite-preview_estimate
170,Miến trộn kiểu Thái,20,15,gemini-3.1-flash-lite-preview_estimate
171,Gỏi nấm rau mầm,25,15,gemini-3.1-flash-lite-preview_estimate
172,Nicoise salad (Salad trứng cá ngừ),30,20,gemini-3.1-flash-lite-preview_estimate
173,Gỏi sứa tiến vua,45,25,gemini-3.1-flash-lite-preview_estimate
174,Đu đủ trộn gà khìa,40,30,gemini-3.1-flash-lite-preview_estimate
175,Cuốn cá xốt xoài,30,20,gemini-3.1-flash-lite-preview_estimate
176,Gỏi ếch rau rừng,25,20,gemini-3.1-flash-lite-preview_estimate
177,Gỏi bưởi chay,30,15,gemini-3.1-flash-lite-preview_estimate
178,Gỏi bò rau mầm,20,10,gemini-3.1-flash-lite-preview_estimate
179,Salad tôm và thịt hun khói,20,15,gemini-3.1-flash-lite-preview_estimate
180,Cuốn cá lóc xốt đậu phộng,30,15,gemini-3.1-flash-lite-preview_estimate
181,Tai heo thấu chua,40,20,gemini-3.1-flash-lite-preview_estimate
182,Gỏi bò rau càng cua,25,25,gemini-3.1-flash-lite-preview_estimate
183,Gỏi sò lông,75,15,gemini-3.1-flash-lite-preview_estimate
184,Cuộn hành hoa,30,20,gemini-3.1-flash-lite-preview_estimate
185,Salad trái tim,30,10,gemini-3.1-flash-lite-preview_estimate
186,Gỏi tôm rau câu,25,10,gemini-3.1-flash-lite-preview_estimate
187,Salad bắp nướng,20,25,gemini-3.1-flash-lite-preview_estimate
188,Gỏi lá cóc,30,15,gemini-3.1-flash-lite-preview_estimate
189,Gỏi khoai môn chiên giòn,25,20,gemini-3.1-flash-lite-preview_estimate
190,Nộm gà chay hoa chuối,45,30,gemini-3.1-flash-lite-preview_estimate
191,Mỳ Ý xốt kem,20,15,gemini-3.1-flash-lite-preview_estimate
192,Nộm bì,30,20,gemini-3.1-flash-lite-preview_estimate
193,Gỏi ngó sen tôm thịt,120,20,gemini-3.1-flash-lite-preview_estimate
194,Đùi ếch xé phay,30,20,gemini-3.1-flash-lite-preview_estimate
195,Xà lách trứng,15,10,gemini-3.1-flash-lite-preview_estimate
196,Salad dâu tằm,20,10,gemini-3.1-flash-lite-preview_estimate
