id,recipe_name,description,image_url,prep_time,cook_time,servings,difficulty,created_by,status,created_at,updated_at,calories
51,Cơm nắm xốt mè,"Cơm nóng dẻo thơm, béo béo xốt mè rang, cắn vô là gặp bắp với dưa leo giòn sật sật. Thêm chút mằn mặn của chà bông với rong biển nữa là… ta nói nó cuốnnn",https://monngonmoingay.com/wp-content/uploads/2026/01/Com-nam-xot-me.png,0,5,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),423
52,TÚI NGỌC XỐT MÈ,,https://monngonmoingay.com/wp-content/uploads/2025/12/Tui-ngoc-xot-me-1-1024x584.png,0,5,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Wed Apr 08 2026 07:57:38 GMT+0700 (Indochina Time),173
53,Ức gà trộn quinoa và rau củ,,https://monngonmoingay.com/wp-content/uploads/2025/11/uc-ga-tron-quinoa.jpg,0,5,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),440
54,Kem “Blendy”,,https://monngonmoingay.com/wp-content/uploads/2025/09/Kem-Blendy-1-1024x584.png,0,10,4,easy,1,hidden,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Wed Apr 08 2026 09:02:23 GMT+0700 (Indochina Time),105
55,Bánh cuốn lạnh,,https://monngonmoingay.com/wp-content/uploads/2025/08/BANH-CUON-LANH-1-1024x584.png,0,10,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),443
56,Salad bò đậu rồng,,https://monngonmoingay.com/wp-content/uploads/2025/08/Salad-dau-rong.png,0,10,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),383
57,Snack salad,,https://monngonmoingay.com/wp-content/uploads/2025/05/Snack-salad-website.png,0,15,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),228
58,Cơm nắm rong biển Mayo,"Cơm nắm rong biển mayo dễ làm, ngon miệng, thích hợp ăn sáng hoặc dã ngoại. Xem cách làm chi tiết từ Món Ngon Mỗi Ngày để làm món ăn đẹp mắt cho gia đình.",https://monngonmoingay.com/wp-content/uploads/2025/04/Thumbnail-template-1.png,0,10,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),343
59,Salad táo phô mai,"Salad táo phô mai giòn ngon với vị chua ngọt hài hòa, kết hợp hoàn hảo giữa trái cây và bơ sữa. Món ăn healthy lý tưởng cho chế độ dinh dưỡng cân bằng.",https://monngonmoingay.com/wp-content/uploads/2025/01/26.-SALAD-TAO-PHO-MAI.png,0,20,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),323
60,Salad rong biển thanh cua,"🥗 Món Salad rong biển thanh cua thơm ngon, giòn sần sật với sự kết hợp của các loại rau xà lách, dưa leo, và rong biển tạo cảm giác thanh mát dễ chịu khi ăn.",https://monngonmoingay.com/wp-content/uploads/2025/01/18.-SALAD-RONG-BIEN-THANH-CUA.png,0,25,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),58
61,Salad trộn xốt phô mai cay,"Món Salad trộn xốt phô mai cay kết hợp giữa rau xanh tươi mát và vị béo ngậy, cay nhẹ của xốt phô mai, tạo nên hương vị rất hấp dẫn.",https://monngonmoingay.com/wp-content/uploads/2025/02/Salad-tron-xot-pho-mai-cay.png,0,15,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),108
62,Miến măng trộn,"Món Miến măng trộn thanh nhẹ nhưng đầy hương vị, kết hợp giữa sợi miến dai mềm, măng giòn ngọt và hương vị gà ta dai ngọt. Đây là món ăn lý tưởng cho những ai",https://monngonmoingay.com/wp-content/uploads/2025/01/9.-MIEN-MANG-TRON-1.png,0,30,2,medium,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),743
63,Gỏi bắp bò hoa,"Món Gỏi bắp bò hoa thanh mát nhưng đầy hương vị, kết hợp hoàn hảo giữa thịt bắp bò mềm ngọt, bắp chuối hột trắng mềm tươi giòn và nước trộn gỏi chua ngọt đậm",https://monngonmoingay.com/wp-content/uploads/2025/01/8.-GOI-BAP-BO-HOA.png,0,15,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),593
64,Miến gà trộn,Miến gà trộn kiểu Thái vừa ngon lại vừa dễ. Món ăn khi thưởng thức có vị chua ngọt cay tê tê rất thích hợp làm món ăn vặt cho chị em khi tụ họp bạn bè nhé.,https://monngonmoingay.com/wp-content/uploads/2025/01/Mien-ga-tron.png,0,20,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),373
65,Salad mì udon cá hồi xốt mè rang,"Salad mì Udon cá hồi xốt mè rang là một món ăn mang hương vị tươi mát, thanh nhẹ nhưng không kém phần đậm đà và bổ dưỡng. Sự kết hợp giữa cá hồi béo ngậy, mì",https://monngonmoingay.com/wp-content/uploads/2025/01/6.-SALAD-MI-UDON-CA-HOI-XOT-ME-RANG-1.png,0,10,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),790
66,Gỏi ngó sen tôm thịt,"Gỏi ngó sen tôm thịt không chỉ ngon mà còn rất tốt cho sức khỏe nhờ vào các nguyên liệu tươi mát, ít dầu mỡ.",https://monngonmoingay.com/wp-content/uploads/2025/01/5.-GOI-NGO-SEN-TOM-THIT.png,0,20,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),593
67,Gỏi gà giòn,"Rau củ tươi giòn nhiều màu sắc bắt mắt, kết hợp với những miếng gà chiên vỏ giòn thịt ngọt, tất cả thấm đều xốt gỏi chua cay hài hòa, hấp dẫn không thể bỏ",https://monngonmoingay.com/wp-content/uploads/2025/01/4.-GOI-GA-GION.png,0,20,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),340
68,Miến trộn hải sản,Miến trộn hải sản kết hợp giữa hương vị tươi ngon của hải sản và sự mềm dai của miến. Món ăn này không chỉ ngon mà còn mang lại cảm giác tươi mới nhờ sự kết,https://monngonmoingay.com/wp-content/uploads/2025/01/1.-MIEN-TRON-HAI-SAN.png,0,0,2,medium,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),920
69,Mì Trộn Vị Thái,"Mực nhai sần sật, thịt tôm ngọt, sợi mì dai dai và rau củ vừa chín giòn, thêm trứng lòng đào bùi bùi, áo đều xốt chua cay vị Thái, ngon tê tái. Công thức mì",https://monngonmoingay.com/wp-content/uploads/2024/11/Thumbnail-template-2.png,0,27,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),575
70,Salad bacon,"Bacon giòn, đậm đà, ăn cùng rau củ thanh mát, xốt mayonnaise chua nhẹ, beo béo, thêm chút cay tê đầu lưỡi từ mù tạt, tiện lợi mà dinh dưỡng. Công thức salad",https://monngonmoingay.com/wp-content/uploads/2024/11/Salad-bacon.png,0,15,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),340
71,Salad cá ngừ rau thơm,"Salad cá ngừ rau thơm tươi mát cùng với miếng cá ngừ chín, chắc thịt, không khô. Màu sắc tươi mát từ các loại rau xanh, cùng với màu vàng nhạt của xốt, màu",https://monngonmoingay.com/wp-content/uploads/2024/09/salad-ca-ngu.jpg,0,15,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),360
72,Salad bơ bacon,"Món Salad bơ bacon kết hợp giữa vị béo của bơ, bùi của khoai tây, giòn nhẹ của dưa leo, chua nhẹ của xốt mayonnaise và vị đậm đà của bacon. Đầu bếp sẽ hướng",https://monngonmoingay.com/wp-content/uploads/2024/08/salad-bo-bacon.jpg,0,5,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),343
73,Salad rong nho xốt mè rang,"Khi thưởng thức món Salad rong nho xốt mè rang, bạn sẽ cảm nhận được sự hòa quyện của các hương vị rong nho mọng nước, béo béo từ sốt mè rang, và giòn giòn từ",https://monngonmoingay.com/wp-content/uploads/2024/06/salad-rong-nho-me-rang.jpg,0,5,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),323
74,Salad bít tết,"Thịt bò ngoài nâu nhạt, bên trong ngọt mềm, thấm vị, cùng với rau củ lạnh lạnh, giòn giòn, kết hợp cùng xốt mè rang thơm lừng, beo béo, mặn ngọt hài hòa, rất",https://monngonmoingay.com/wp-content/uploads/2024/04/salad-beefsreak.jpg,0,5,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),193
75,Gỏi gà cần tây,"Gỏi gà cần tây ngọt mặn chua cay nhẹ đặc trưng của món gỏi, lại thêm vị béo nhẹ thơm của xốt mayonnaise. Cách làm gỏi gà không khô, ngọt thịt, cách pha nước",https://monngonmoingay.com/wp-content/uploads/2024/03/goi-ga-can-tay-5.jpg,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),346
76,Salad trứng,"Cách làm món salad trứng hấp dẫn đầy màu sắc. Món salad tươi mát khi kết hợp các các loại rau củ đầy đủ dinh dưỡng, rau giòn ngọt kết hợp với vị trứng bùi bùi",https://monngonmoingay.com/wp-content/uploads/2024/03/salad-trung-5.jpg,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),121
77,Bún trộn ngũ sắc,"Bún trộn ngũ sắc là một món ăn truyền thống của Việt Nam. Món ăn được sử dụng bún khô kết hợp với các loại nấm, cải bó xôi và cà rốt. Món bún trộn có màu sắc",https://monngonmoingay.com/wp-content/uploads/2024/01/bun-tron-ngu-sac-5.jpg,0,20,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),355
78,Salad bơ cải kale ức gà,"Món salad bơ cải kale ức gà hỗ trợ đường huyết giúp cho gia đình bạn khoẻ mạnh hơn. Món ăn được chế biến với sự kết hợp từ ức gà, bơ, cà chua, hành tây, cải",https://monngonmoingay.com/wp-content/uploads/2024/01/salad-kale-5.jpg,0,30,2,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),343
79,Đậu trộn dầu giấm xốt mè rang,"Công thức đậu trộn dầu giấm xốt mè rang giàu dinh dưỡng, giúp hỗ trợ xương khớp, kết hợp đậu trắng, đậu gà, bắp hạt, ức gà và rau tươi ngon hấp dẫn.",https://monngonmoingay.com/wp-content/uploads/2024/01/salad-dau-giam-5.jpg,0,30,4,easy,1,visible,Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),Thu Mar 12 2026 08:58:16 GMT+0700 (Indochina Time),280
